time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Thu Dec 28 16:11:50 +0000 2017,New post on using #keras &amp; #python to detect the character Fox in Super Smash Bros gameplay.  Thanks to @VGBootCamp… https://t.co/rpHqBE4YuY,ASpannbauer,23,4,27,New post on using #k...
Sun Dec 24 22:38:43 +0000 2017,"New festive post on how to use #rstats, @spacy_io, &amp; #visNetwork to plot 'Santa Claus is Coming to Town'… https://t.co/0isoseqg5H",ASpannbauer,21,9,30,New festive post on ...
Sun Dec 17 21:44:09 +0000 2017,"New blog post to announce release of lexRankr 0.5.0:
Automatic text summarization in R: recreating the popular redd… https://t.co/AsJAfpYXho",ASpannbauer,2,2,4,New blog post to ann...
Thu Dec 14 14:49:54 +0000 2017,@plotlygraphs @SuthinBelle Credit to @xangregg for the chart type idea (thanks to @pofigster for pointing out he is on Twitter),ASpannbauer,1,0,1,@plotlygraphs @Suthi...
Thu Dec 14 14:22:43 +0000 2017,Quick #rstats package for creating packed bar charts using @plotlygraphs. Inspired by @SuthinBelle (chart type intr… https://t.co/2bG8wv1JN2,ASpannbauer,12,9,21,Quick #rstats packag...
Wed Dec 13 18:53:19 +0000 2017,@agaved @hadleywickham @drob Not intended to enhance understanding; was made while brainstorming a graphic for a vi… https://t.co/R1ZvgQCY1f,ASpannbauer,2,0,2,@agaved @hadleywickh...
Wed Dec 13 16:26:30 +0000 2017,Playing around with idea of making animated 'growing' barcharts in #rstats using @hadleywickham's #ggplot2 &amp; @drob'… https://t.co/93Z6Eeuj5p,ASpannbauer,55,5,60,Playing around with ...
Wed Oct 25 17:19:25 +0000 2017,@Davemonlol im sorry it took me so long. ive been really busy or something,ASpannbauer,0,0,0,@Davemonlol im sorry...
Tue Oct 17 12:39:28 +0000 2017,I just completed @PyImageSearch gurus.  It was a fun learning experience.  Thanks to Adrian for putting it together https://t.co/vmCoHgADSD,ASpannbauer,2,0,2,I just completed @Py...
Sun Oct 08 21:42:23 +0000 2017,fox detector in action w/some @TheBigHouseSSB footage from crews of @spotdodge_shine  &amp; @PG_Plup on @VGBootCamp… https://t.co/2DHcDcbRIL,ASpannbauer,9,7,16,fox detector in acti...
Fri Sep 01 00:46:24 +0000 2017,"not perfect but i made a beer motion tracker with the help of @PyImageSearch , #python , &amp; #opencv 🍺🍺🍺 https://t.co/lcMgfKJEgx",ASpannbauer,25,3,28,not perfect but i ma...
Fri Jul 07 19:55:26 +0000 2017,@smashgg @toph_bbq @bobbyscar @JHOW275,ASpannbauer,1,0,1,@smashgg @toph_bbq @...
